variable,modalite_originale,modalite_recassifiee
ekipa_tsy_afapo,Tsy miara miasa aminy,Ne veut pas faire
ekipa_tsy_afapo,Tsy mino ilay aretina aho,Ne croix pas
ekipa_tsy_afapo,Tsy mino oe misy ilay aretina fa politika fotsiny,Ne croix pas
ekipa_tsy_afapo,Tsy misy ekipan’ny fahasalamana  midina aty,Peu de sensibilisation
ekipa_tsy_afapo,Tsy misy fandr1isana antanana alors rehefa Tonga any @hopitaly fa mandoa vola,Problème de prise en charge
ekipa_tsy_afapo,Tsy misy fanentanana,Pas de sensibilisation
ekipa_tsy_afapo,Tsy misy fanentanana aty ,Pas de sensibilisation
ekipa_tsy_afapo,Tsy misy mampahafantatra anay,Pas de sensibilisation
ekipa_tsy_afapo,Tsy misy manentana aty @ fokontany,Pas de sensibilisation
ekipa_tsy_afapo,Tsy misy mboal taty aminay,Pas de sensibilisation
ekipa_tsy_afapo,Tsy misy mpanentana,Pas de sensibilisation
ekipa_tsy_afapo,Tsy misy ny mpanentana,Pas de sensibilisation
ekipa_tsy_afapo,Tsy mitovy hevitra,Ne pas de même avis
ekipa_tsy_afapo,Tsy nisy fanomezana,Pas de cadeaux
ekipa_tsy_afapo,Tsy nisy loatra,il n'y a pas
ekipa_tsy_afapo,"Tsy nisy nanetana, sy nampahalala",Pas de sensibilisation
ekipa_tsy_afapo,Tsy nizara zavatra ,Pas de cadeaux
ekipa_tsy_afapo,Tsy tena misy,Ne croix pas
ekipa_tsy_afapo,Tsy teo antoerana,Ne pas dans le site
ekipa_tsy_afapo,Vonjitavanandro,volontarité
ekipa_tsy_afapo,Zareo maika maika ihany d ety ampy ny fanazavana,Problème de prise en charge
tsy_afapo_tsabo,Elabe vao mivaly,Problème de prise en charge
tsy_afapo_tsabo,Hamotra Fanafody fa aretina lainga,N'existe pas
tsy_afapo_tsabo,Marary vakisiny,Peur de vaccin
tsy_afapo_tsabo,Mbola tsy voany,Ne croix pas
tsy_afapo_tsabo,Miavona ny olona ao,Problème de prise en charge
tsy_afapo_tsabo,Namparary,Problème de prise en charge
tsy_afapo_tsabo,Nitombo ny asalohako,Ne veut pas faire
tsy_afapo_tsabo,Nohony hamafisany.,Ne veut pas faire
tsy_afapo_tsabo,Satria izy tsy nitsabo bojo fa volantena no manefa,Problème de prise en charge
tsy_afapo_tsabo,Tsa nisy voa agnay,Ne veut pas faire
tsy_afapo_tsabo,Tsimahefa,Ne veut pas faire
tsy_afapo_tsabo,Tsy afapo,Ne pas satisfait
tsy_afapo_tsabo,"Tsy ampy ny fampahafantara 
Tsisy fanentanana",Manque d'information
tsy_afapo_tsabo,tsy ampy ny fikarakarana,Problème de prise en charge
tsy_afapo_tsabo,Tsy dia iasan’olona saina lotra izy io ,Manque d'information
tsy_afapo_tsabo,Tsy mandray tsara,Problème de prise en charge
tsy_afapo_tsabo,Tsy nistraka satria aretina tsy misy akory,rumeur
tsy_afapo_tsabo,Tsy voaray tsara olo marary mandeha @ hopitaly,Problème de prise en charge
